Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Dispositions ; Laboratoire maison ; Valeurs spécifiques de laboratoire chez nous ; Valeurs spécifiques de laboratoire ; Valeurs spécifiques de laboratoire ; Lettre Hémocult ; Lettre Hémocult
Dispositions ; Laboratoire maison ; Valeurs de laboratoire spéciales chez nous ; Valeurs de laboratoire spéciales ; Valeurs de laboratoire spéciales ; -- ; --
Dispositions ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; ;
Dispositions ;Dialogue de laboratoire - Chimie clinique ;Dialogue de laboratoire - Chimie clinique ;Dialogue de laboratoire - Chimie clinique ;Dialogue de laboratoire - Chimie clinique ;Amiodarone ;Amiodarone
Dispositions ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Carbamazépine ; Carbamazépine
Dispositions ; Dialogues de Laboratoire - Chimie Clinique ; Dialogues de Laboratoire - Chimie Clinique ; Dialogues de Laboratoire - Chimie Clinique ; Dialogues de Laboratoire - Chimie Clinique ; Gentamicine ; Gentamicine
Dispositions ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Levetiracetam ; Levetiracetam
Dispositions ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Lithium ; Lithium
Dispositions ;Dialogue de laboratoire - Chimie Clinique ;Dialogue de laboratoire - Chimie Clinique ;Dialogue de laboratoire - Chimie Clinique ;Dialogue de laboratoire - Chimie Clinique ;Meropenem ;Meropenem
Dispositions ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Dialogue de laboratoire - Chimie clinique ; Acide valproïque ; Acide valproïque
Dispositions ;Dialogue de Laboratoire - Chimie Clinique ;Dialogue de Laboratoire - Chimie Clinique ;Dialogue de Laboratoire - Chimie Clinique ;Dialogue de Laboratoire - Chimie Clinique ;Vancomycine ;Vancomycine
Dispositions ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Dialogue de Laboratoire - Chimie Clinique ; Voriconazole ; Voriconazole
Dispositions ;Labor Dialogue - Chimie Clinique ;Résultat_3 ;Labor Dialogue - Chimie Clinique ;Résultat ; ;
Dispositions ; Labor Dialogue - MiBi ; Labor Lehrte ; Labor UMG - MiBi ; MiBi - Échantillon ; ;
Dispositions ; Laboratoire Dialogue - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Écouvillon Influenza ; Autres Écouvillon Influenza
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; gauche ; Écouvillon de blessure intraopératif Oreille gauche
Dispositions ;Labor Dialog - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Culture de sang ; Cultures de la culture de sang
"Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; Échantillon MiBi ; ""Culture de sang à partir de """"LIQUOR"""""" ; ""Cultures de culture de sang à partir de """"LIQUOR"""""""
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Cultures ; Cultures
Dispositions ;Dialogue de Laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;Culture de Selles ;Cultures Culture de Selles
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Écouvillon de plaie ; Écouvillon de plaie
"Dispositions ; Dialogue de Laboratoire - MiBi ; Laboratoire UGM - MiBi ; Laboratoire Lehrte ; Échantillon MiBi ; ""Culture de sang de """"ARTÈRE"""""" ; ""Cultures de BloodCulture de """"ARTÈRE"""""""
Dispositions ;Labor Dialog - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;droite ;Écouvillon de plaie intraopératoire Ohr droite
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Autre écouvillon (voir commentaire) ; Autres Autre écouvillon (voir commentaire)
"Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;""Culture de sang de """"ZVK"""""" ;""Cultures de culture de sang de culture de sang de """"ZVK"""""""
Arrangements ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Sécrétion trachéale ; Cultures de sécrétion trachéale
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Autre culture (voir commentaire) ; Autres Autre culture (voir commentaire)
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;Échantillon MiBi ;Autre ;Autre
Dispositions ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;Autre (voir commentaire) ;Autre Autre (voir commentaire)
"Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; ""Culture de sang de """"ÉPANCHEMENT PLEURAL"""""" ; ""Cultures de culture de sang de """"ÉPANCHEMENT PLEURAL"""""""
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;BAL Lavage bronchique ;Cultures BAL Lavage bronchique
"Dispositions ; Laboratoire Dialogue - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; ""Culture de sang tirée d'""""ASCITE"""""" ; ""Cultures de sang tirée de la culture de sang d'""""ASCITE"""""""
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;Culture d'urine ;Cultures de culture d'urine
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; Échantillon MiBi ; Antigène de Legionella pneumophila sérotype 1 ; Autre antigène de Legionella pneumophila sérotype 1
"Dispositions ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;""Culture de sang de """"PÉRIPHÉRIE"""""" ;""Cultures de culture de sang de """"PÉRIPHÉRIE"""""""
Dispositions ;Labor Dialog - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;intraopératoire ;Écouvillon de plaie intraopératoire
Anordnungen ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Echantillon ;Oreille ;Prélèvement de plaie intraopératif Oreille
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;sur station ;Écouvillon de plaie sur station
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Nez ; Prélèvement de plaie intraopératoire Nez
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Oreille ; Prélèvement de plaie sur le poste Oreille
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Gorge ; Écouvillon de plaie intraopératoire Gorge
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Nez ; Écouvillon de plaie sur station Nez
Dispositions ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;Oeil ;Écouvillon de plaie intraopératoire Oeil
Dispositions ; Laboratoire Dialogue - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Gorge ; Écouvillon de plaie sur station Gorge
Dispositions; Dialogue de laboratoire - MiBi; Laboratoire UMG - MiBi; Laboratoire Lehrte; Échantillon MiBi; Amygdales; Écouvillon de plaie intraopératif pour les amygdales
Dispositions ; Laboratoire Dialogue - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Œil ; Prélèvement de plaie sur le poste de l'œil
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; Amygdales ; Écouvillon de la plaie à la station Amygdales
Dispositions ; Dialog Laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Génital ; Écouvillon intraopératif de blessure génitale
Dispositions ;Labor Dialog - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;Génital ;Écouvillon de plaie sur la station Génital
Dispositions ;Dialogue de Laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;Col de l'utérus ;Écouvillon intraopératif du col de l'utérus
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; Échantillon MiBi ; Col de l'utérus ; Écouvillon de plaie en station Col de l'utérus
Arrangements; Dialogue de laboratoire - MiBi; Laboratoire UMG - MiBi; Laboratoire Lehrte; MiBi - Échantillon; Anal; Écouvillon de plaie intraopératif Anal
Dispositions ; Dialogue de Laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Anal ; Écouvillon de plaie en station Anal
Dispositions ;Labor Dialog - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;Urètre ;Écouvillon de plaie intraopératoire Urètre
Dispositions ;Laboratoire Dialog - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ; Échantillon MiBi ;Urètre ;Ecouvillon de plaie sur la station Urètre
Dispositions ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;Vulve ;Écouvillon de plaie intraopératoire Vulve
Dispositions ; Dialogue en laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; Vulve ; Écouvillon de la plaie sur la station vulve
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;Autres (Indiquez la localisation dans le commentaire!) ;Prélèvement de plaies intraopératoire Autres (Indiquez la localisation dans le commentaire!)
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; gauche ; Prélèvement de blessure intraopératoire à l'œil gauche
Dispositions ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Échantillon ;Blessure ;Écouvillon intraopératoire de la blessure
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;MiBi - Échantillon ;Autres (Indiquer la localisation dans le commentaire!) ;Prélèvement de la plaie en station Autres (Indiquer la localisation dans le commentaire!)
Dispositions ;Labor Dialogue - MiBi ;Labor UMG - MiBi ;Labor Lehrte ;MiBi - Echantillon ;Blessure ;Ecouvillon de plaie sur la station Blessure
Dispositions ; Labor Dialogue - MiBi ; Labor UMG - MiBi ; Labor Lehrte ; MiBi - Échantillon ; à droite ; Écouvillon intraopératoire de l'œil droite
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; gauche ; Écouvillon de plaie intraopératif des amygdales à gauche.
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;Échantillon MiBi ;à droite ;Écouvillonnage des plaies intraopératoires des amygdales à droite
Arrangements; Dialogue de laboratoire - MiBi; Laboratoire UMG - MiBi; Laboratoire Lehrte; MiBi - Échantillon; gauche; Écouvillon de plaie dans la station oreille gauche
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; Échantillon MiBi ; à gauche ; Prélèvement de la plaie sur la station Amygdales à gauche
Dispositions ; Dialogue de laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; gauche ; Écouvillon de plaie sur la station Œil gauche
Dispositions ;Dialogue de laboratoire - MiBi ;Laboratoire UMG - MiBi ;Laboratoire Lehrte ;Échantillon MiBi ;à droite ;Écouvillon de plaie à la station oculaire droite
Dispositions ; Dialogue Laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; droite ; Écouvillon de blessure sur la station d'oreille droite
Dispositions ; Dialogue Laboratoire - MiBi ; Laboratoire UMG - MiBi ; Laboratoire Lehrte ; MiBi - Échantillon ; droite ; Prélèvement de plaie sur la station Tonsil droite
Dispositions ; Dialogue de Laboratoire - Allergie ; Dialogue de Laboratoire Allergie ; Dialogue de Laboratoire - Allergie ; Dialogue de Laboratoire Allergie ; ;
Dispositions ; Dialogue de laboratoire - Génétique moléculaire ; Dialogue en génétique moléculaire ; Dialogue en génétique moléculaire ; Dialogue de laboratoire - Génétique moléculaire ; ;
Dispositions ;Dialogue de Laboratoire - Allergie ;Dialogue de Laboratoire ;Dialogue de Laboratoire - Allergie ;Résultat ; ;
Dispositions ; Dialogue de Laboratoire - Génétique Moléculaire ;Résultat_2 ; Dialogue Génétique Moléculaire ;Résultat ; ;
Dispositions ;BGA artériel_alt ;accompli ;BGA artériel_alt ;accompli ; ;
"Les dispositions ;D2 Klein_alt ;HB ;HB_alt ;HB ; ;
"
Dispositions ;D2 Klein_alt ;réalisé_3 ;D2 Klein_alt ;réalisé ; ;
Dispositions ;Mibi_alt ;WAS ;Mibi_alt ;WAS ; ;
"Désolé, le texte fourni ne semble pas être en anglais et semble contenir des mots codés ou techniques. Pourriez-vous fournir plus de contexte ou vérifier le texte?"
Dispositions ;BGA ven�s_alt ;réalisé_1 ;BGA ven�s_alt ;réalisé ; ;
"Les traductions littérales pourraient être:
Dispositions ; D2 Grand_âgé ; accompli_2 ; D2 Grand_âgé ; accompli ; ; 

Cependant, cette phrase semble contenir des codes ou des expressions spécifiques qui pourraient avoir un sens différent dans leur contexte d'origine. Sans ce contexte, une traduction précise peut être difficile."
Dispositions ;Hauslabor_alt ;Profil de laboratoire ;Hauslabor_alt ;Profil de laboratoire ; ;
"Dispositions ;Hauslabor_alt ;Limbachlabor ;Fremdlabor_alt ;Limbachlabor ; ;
(Note: These words appear to be names and as such, typically are not translated.)"
Dispositions ;MaisonLaboratoire_alt ;Cultures ;Cultures_alt ;Cultures ; ;
Dispositions ; Laboratoire_domicile_ancien ; Cultures_anciennes ; Cultures ; Cultures ; Cultures_de_sang_B ; Cultures_de_sang_B
Dispositions ;MaisonLaboratoire_alt ;Cultures_alt ;Cultures ;Cultures ;S cultures de tabouret ;S cultures de tabouret
Dispositions ; Maison-laboratoire_vieux ; Cultures_vieilles ; Cultures ; Cultures ; T rachealsecret ; T rachealsecret
Arrangements ;MaisonLabo_alt ;Cultures_alt ;Cultures ;Cultures ;BAL ;BAL
Dispositions ; MaisonLaboratoire_ancien ; Cultures_ancien ; Cultures ; Cultures ; FrottisChirurgical ; FrottisChirurgical
Dispositions ;Hauslabor_alt ;Profil de laboratoire D2/B2 petit ;D2/B2 Grand/petit_alt ;D2 / B2 petit ; ;
Dispositions ;Laboratoire à domicile_ancien ;Prélèvements MRSA ;MRSA_ancien ;Prélèvements MRSA ; ;
Dispositions ; Laboratoire à domicile_alt ; MRSA_alt ; Prélèvements de MRSA ; Prélèvements de MRSA ; Ecouvillon de plaie ; Ecouvillon de plaie
Dispositions ; Laboratoire domestique_alt ; MRSA_alt ; Écouvillons MRSA ; Écouvillons MRSA ; Écouvillon de peau ; Écouvillon de peau
Dispositions ;Hauslabor_alt ;MRSA_alt ;Écouvillonnages MRSA ;Écouvillonnages MRSA ;N/R - écouvillon ;N/R - écouvillon
Dispositions ; Dialogue de laboratoire - MiBi ; Résultats_1 ; Laboratoire UMG - MiBi ; Résultats ; ;
Dispositions ;Sono_alt ;TEE ;Sono_alt ;TEE ; ;
Dispositions ;Sono_alt ;TTE ;Sono_alt ;TTE ; ;
